Year,LandslideID,Zone,TreeID,Species_Jp,DBH_cm,H_m,BA,BEF,R,D1,TimVol,AGBiomass_mg
1947,16,Initiation,B670,Hakunboku,4.2,5,13.8544236,1.26,0.26,0.624,0.004730777,0.003719526
1947,16,Initiation,B671,Akashide,8.5,8.6,56.74501731,1.26,0.26,0.624,0.022681409,0.017833031
1947,16,Initiation,B672,Akashide,2.9,2.5,6.605198554,1.26,0.26,0.624,0.002076327,0.001632491
1947,16,Initiation,B673,Mizunara,23.8,16.1,444.8809357,1.26,0.26,0.624,0.351076695,0.276030541
1947,16,Initiation,B674,Akashide,9.4,8.9,69.39778172,1.26,0.26,0.624,0.028369551,0.022305276
1947,16,Initiation,B675,Ezo Yamazakura,11.5,12.4,103.8689071,1.26,0.26,0.624,0.060439659,0.047520078
1947,16,Initiation,B676,Akashide,6.9,8,37.39280656,1.26,0.26,0.624,0.014265831,0.011216367
1947,16,Initiation,B677,Akashide,2.5,2.5,4.908738521,1.26,0.26,0.624,0.001492725,0.00117364
1947,16,Initiation,B678,Akashide,11.5,8.4,103.8689071,1.26,0.26,0.624,0.04441765,0.034922933
1947,16,Initiation,B679,Akashide,6.1,7,29.22466566,1.26,0.26,0.624,0.010846818,0.008528202
1947,16,Initiation,B680,Akashide,5.7,6,25.51758633,1.26,0.26,0.624,0.009328507,0.007334446
1947,16,Initiation,B681,Akashide,12,9.9,113.0973355,1.26,0.26,0.624,0.048826049,0.038388993
1947,16,Initiation,B682,Akashide,12.3,9.9,118.8228881,1.26,0.26,0.624,0.051581626,0.040555537
1947,16,Initiation,B683,Akashide,2.8,3.4,6.157521601,1.26,0.26,0.624,0.001920486,0.001509963
1947,16,Initiation,B684,Ezo Yamazakura,18,12.1,254.4690049,1.26,0.26,0.624,0.17863998,0.140453898
1947,16,Initiation,B685,Akashide,4,5.1,12.56637061,1.26,0.26,0.624,0.004244438,0.003337147
1947,16,Initiation,B686,Akashide,10.8,9.5,91.60884178,1.26,0.26,0.624,0.038629081,0.030371729
1947,16,Initiation,B687,Akashide,6.3,7.6,31.17245311,1.26,0.26,0.624,0.01165343,0.009162393
1947,16,Initiation,B688,Akashide,3.4,4.3,9.079202769,1.26,0.26,0.624,0.002957265,0.00232512
1947,16,Initiation,B689,Akashide,9.4,10.1,69.39778172,1.26,0.26,0.624,0.028369551,0.022305276
